locus_tag	ftype	length_bp	gene	EC_number	COG	product
HM00108598_00001	CDS	135	rpmH			50S ribosomal protein L34
HM00108598_00002	CDS	360	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
HM00108598_00003	CDS	864	misCA		COG0706	Membrane protein insertase MisCA
HM00108598_00004	CDS	621				hypothetical protein
HM00108598_00005	CDS	462				hypothetical protein
HM00108598_00006	CDS	981	rhaS_1			HTH-type transcriptional activator RhaS
HM00108598_00007	CDS	1269	csbC			putative metabolite transport protein CsbC
HM00108598_00008	CDS	1452	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
HM00108598_00009	CDS	1263	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
HM00108598_00010	CDS	822	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
HM00108598_00011	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
HM00108598_00012	CDS	1413	hsrA			putative transport protein HsrA
HM00108598_00013	CDS	543				hypothetical protein
HM00108598_00014	CDS	1995				hypothetical protein
HM00108598_00015	tRNA	75				tRNA-Val(gac)
HM00108598_00016	CDS	1026	purR_1		COG1609	HTH-type transcriptional repressor PurR
HM00108598_00017	CDS	1701	ycjM	2.4.1.-	COG0366	Glucosylglycerate phosphorylase
HM00108598_00018	CDS	1293				hypothetical protein
HM00108598_00019	CDS	882	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
HM00108598_00020	CDS	852	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
HM00108598_00021	CDS	1053	tdh	1.1.1.103		L-threonine 3-dehydrogenase
HM00108598_00022	CDS	795	iolO	5.1.3.-	COG1082	5-keto-L-gluconate epimerase
HM00108598_00023	CDS	1032	iolG_1	1.1.1.18		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
HM00108598_00024	CDS	2178	kojP	2.4.1.230		Kojibiose phosphorylase
HM00108598_00025	CDS	1122	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
HM00108598_00026	CDS	663	ycjU	5.4.2.6	COG0637	Beta-phosphoglucomutase
HM00108598_00027	CDS	321	trxA_1		COG0526	Thioredoxin 1
HM00108598_00028	CDS	600				hypothetical protein
HM00108598_00029	CDS	357				hypothetical protein
HM00108598_00030	CDS	423	slyA_1			Transcriptional regulator SlyA
HM00108598_00031	CDS	1149				hypothetical protein
