"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","HM00108598","HM00110618","L2074","YA00082404","egd-e"
"ycjM","","Glucosylglycerate phosphorylase","5","5","1","1","2606","","","","1241","1700","1608","HM00108598_00017","HM00110618_00984","HL2074_02884","YA00082404_00256","EGD-e_02943"
"rhaM","","L-rhamnose mutarotase","5","5","1","1","2612","","","","314","314","314","HM00108598_00011","HM00110618_00990","HL2074_02890","YA00082404_00262","EGD-e_02950"
"kojP","","Kojibiose phosphorylase","5","5","1","1","2599","","","","2177","2177","2177","HM00108598_00024","HM00110618_00977","HL2074_02877","YA00082404_00249","EGD-e_02936"
"garK_2","","Glycerate 2-kinase","5","5","1","1","2598","","","","1121","1121","1121","HM00108598_00025","HM00110618_00976","HL2074_02876","YA00082404_00248","EGD-e_02935"
"ycjU","","Beta-phosphoglucomutase","5","5","1","1","2597","","","","662","662","662","HM00108598_00026","HM00110618_00975","HL2074_02875","YA00082404_00247","EGD-e_02934"
"trxA_1","","Thioredoxin 1","5","5","1","1","2596","","","","320","320","320","HM00108598_00027","HM00110618_00974","HL2074_02874","YA00082404_00246","EGD-e_02933"
"group_107","slyA_3","Transcriptional regulator SlyA","5","5","1","1","2593","","","","422","470","431","HM00108598_00030","HM00110618_00971","HL2074_02871","YA00082404_00243","EGD-e_02930"
"yxeP_1","","putative hydrolase YxeP","5","5","1","1","2583","","","","1190","1190","1190","HM00108598_00040","HM00110618_00961","HL2074_02861","YA00082404_00233","EGD-e_02920"
"sauU","","putative sulfoacetate transporter SauU","5","5","1","1","2582","","","","1193","1193","1193","HM00108598_00041","HM00110618_00960","HL2074_02860","YA00082404_00232","EGD-e_02919"
"group_11","rhaR_1","HTH-type transcriptional activator RhaR","5","5","1","1","2586","","","","2342","2342","2342","HM00108598_00037","HM00110618_00964","HL2074_02864","YA00082404_00236","EGD-e_02923"
"fabG_1","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","5","5","1","1","2581","","","","731","731","731","HM00108598_00042","HM00110618_00959","HL2074_02859","YA00082404_00231","EGD-e_02918"
"group_111","","hypothetical protein","5","5","1","1","2580","","","","527","527","527","HM00108598_00043","HM00110618_00958","HL2074_02858","YA00082404_00230","EGD-e_02917"
"group_112","","hypothetical protein","5","5","1","1","2574","","","","356","380","365","HM00108598_00048","HM00110618_00953","HL2074_02853","YA00082404_00225","EGD-e_02912"
"rsmG","","Ribosomal RNA small subunit methyltransferase G","5","5","1","1","2567","","","","716","716","716","HM00108598_00054","HM00110618_00947","HL2074_02846","YA00082404_00219","EGD-e_02904"
"nanE","","Putative N-acetylmannosamine-6-phosphate 2-epimerase","5","5","1","1","2566","","","","695","713","702","HM00108598_00055","HM00110618_00946","HL2074_02845","YA00082404_00218","EGD-e_02903"
"ulaC_3","","hypothetical protein","5","5","1","1","2562","","","","446","446","446","HM00108598_00059","HM00110618_00942","HL2074_02841","YA00082404_00214","EGD-e_02899"
"bglK_4","","Beta-glucoside kinase","5","5","1","1","2561","","","","905","905","905","HM00108598_00060","HM00110618_00941","HL2074_02840","YA00082404_00213","EGD-e_02898"
"group_117","","hypothetical protein","5","5","1","1","2558","","","","299","299","299","HM00108598_00063","HM00110618_00938","HL2074_02837","YA00082404_00210","EGD-e_02895"
"group_118","","hypothetical protein","5","5","1","1","2557","","","","758","758","758","HM00108598_00064","HM00110618_00937","HL2074_02836","YA00082404_00209","EGD-e_02894"
"bglB_1","","Thermostable beta-glucosidase B","5","5","1","1","2546","","","","2270","2270","2270","HM00108598_00072","HM00110618_00929","HL2074_02825","YA00082404_00201","EGD-e_02883"
"gshAB","","Glutathione biosynthesis bifunctional protein GshAB","5","5","1","1","2533","","","","2330","2330","2330","HM00108598_00084","HM00110618_00185","HL2074_02815","YA00082404_00189","EGD-e_02871"
"ytrB_1","","ABC transporter ATP-binding protein YtrB","5","5","1","1","2532","","","","887","908","899","HM00108598_00085","HM00110618_00184","HL2074_02814","YA00082404_00188","EGD-e_02870"
"group_124","licA_2","Lichenan-specific phosphotransferase enzyme IIA component","5","5","1","1","2528","","","","308","308","308","HM00108598_00089","HM00110618_00180","HL2074_02810","YA00082404_00184","EGD-e_02866"
"bglK_1","","Beta-glucoside kinase","5","5","1","1","2527","","","","884","884","884","HM00108598_00090","HM00110618_00179","HL2074_02809","YA00082404_00183","EGD-e_02865"
"ettA_1","","Energy-dependent translational throttle protein EttA","5","5","1","1","2522","","","","1610","1610","1610","HM00108598_00095","HM00110618_00174","HL2074_02804","YA00082404_00178","EGD-e_02860"
"cocE","","Cocaine esterase","5","5","1","1","2515","","","","1667","1667","1667","HM00108598_00100","HM00110618_00169","HL2074_02799","YA00082404_00173","EGD-e_02855"
"menF","","Isochorismate synthase MenF","5","5","1","1","2510","","","","1706","1706","1706","HM00108598_00106","HM00110618_00163","HL2074_02794","YA00082404_00167","EGD-e_02850"
"ydaG","","General stress protein 26","5","5","1","1","2508","","","","419","419","419","HM00108598_00108","HM00110618_00161","HL2074_02792","YA00082404_00165","EGD-e_02848"
"dacA_3","","D-alanyl-D-alanine carboxypeptidase DacA","5","5","1","1","2577","","","","818","818","818","HM00108598_00045","HM00110618_00956","HL2074_02856","YA00082404_00228","EGD-e_02915"
"group_130","","hypothetical protein","5","5","1","1","2505","","","","251","251","251","HM00108598_00110","HM00110618_00159","HL2074_02790","YA00082404_00163","EGD-e_02846"
"garK_1","","Glycerate 2-kinase","5","5","1","1","2493","","","","1133","1133","1133","HM00108598_00120","HM00110618_00149","HL2074_02780","YA00082404_00153","EGD-e_02836"
"group_132","","Glucosylglycerate phosphorylase","5","5","1","1","2492","","","","1682","1682","1682","HM00108598_00121","HM00110618_00148","HL2074_02779","YA00082404_00152","EGD-e_02835"
"group_133","","hypothetical protein","5","5","1","1","2488","","","","368","368","368","HM00108598_00125","HM00110618_00144","HL2074_02775","YA00082404_00148","EGD-e_02831"
"lrp","","Leucine-rich protein","5","5","1","1","2484","","","","974","974","974","HM00108598_00129","HM00110618_00140","HL2074_02771","YA00082404_00144","EGD-e_02827"
"slyA_2","","Transcriptional regulator SlyA","5","5","1","1","2483","","","","449","449","449","HM00108598_00130","HM00110618_00139","HL2074_02770","YA00082404_00143","EGD-e_02826"
"group_136","","hypothetical protein","5","5","1","1","2480","","","","461","461","461","HM00108598_00133","HM00110618_00136","HL2074_02767","YA00082404_00140","EGD-e_02823"
"nagB_1","","Glucosamine-6-phosphate deaminase 1","5","5","1","1","2477","","","","719","719","719","HM00108598_00135","HM00110618_00134","HL2074_02765","YA00082404_00138","EGD-e_02821"
"acsA","","Acetyl-coenzyme A synthetase","5","5","1","1","2476","","","","1577","1577","1577","HM00108598_00136","HM00110618_00133","HL2074_02764","YA00082404_00137","EGD-e_02820"
"tadA_1","","tRNA-specific adenosine deaminase","5","5","1","1","2475","","","","470","470","470","HM00108598_00137","HM00110618_00132","HL2074_02763","YA00082404_00136","EGD-e_02819"
"cbbY","","Protein CbbY","5","5","1","1","2563","","","","656","656","656","HM00108598_00058","HM00110618_00943","HL2074_02842","YA00082404_00215","EGD-e_02900"
"cydD_1","","ATP-binding/permease protein CydD","5","5","1","1","2472","","","","1724","1724","1724","HM00108598_00140","HM00110618_00129","HL2074_02760","YA00082404_00133","EGD-e_02816"
"group_141","","hypothetical protein","5","5","1","1","2920","","","","947","947","947","HM00108598_00142","HM00110618_00127","HL2074_02758","YA00082404_00131","EGD-e_02814"
"xylB","","Xylulose kinase","5","5","1","1","2922","","","","1493","1493","1493","HM00108598_00144","HM00110618_00125","HL2074_02756","YA00082404_00129","EGD-e_02812"
"yidA_1","","Sugar phosphatase YidA","5","5","1","1","2936","","","","839","839","839","HM00108598_00158","HM00110618_00111","HL2074_02743","YA00082404_00115","EGD-e_02799"
"dhaL","","PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL","5","5","1","1","2939","","","","596","596","596","HM00108598_00161","HM00110618_00108","HL2074_02740","YA00082404_00112","EGD-e_02796"
"speA","","Arginine decarboxylase","5","5","1","1","2941","","","","1361","1397","1375","HM00108598_00163","HM00110618_00106","HL2074_02738","YA00082404_00110","EGD-e_02794"
"yneA_1","","Cell division suppressor protein YneA","5","5","1","1","2944","","","","1772","1775","1773","HM00108598_00166","HM00110618_00103","HL2074_02735","YA00082404_00107","EGD-e_02791"
"ftsW_1","","putative peptidoglycan glycosyltransferase FtsW","5","5","1","1","2948","","","","1130","1130","1130","HM00108598_00170","HM00110618_00099","HL2074_02731","YA00082404_00103","EGD-e_02787"
"celA_1","","PTS system cellobiose-specific EIIB component","5","5","1","1","2954","","","","305","305","305","HM00108598_00174","HM00110618_00095","HL2074_02727","YA00082404_00099","EGD-e_02781"
"kdpD","","Sensor protein KdpD","5","5","1","1","2959","","","","2690","2690","2690","HM00108598_00179","HM00110618_00091","HL2074_02723","YA00082404_00095","EGD-e_02777"
"group_15","","hypothetical protein","5","5","1","1","2486","","","","404","404","404","HM00108598_00127","HM00110618_00142","HL2074_02773","YA00082404_00146","EGD-e_02829"
"kdpE","","KDP operon transcriptional regulatory protein KdpE","5","5","1","1","2960","","","","695","695","695","HM00108598_00180","HM00110618_00090","HL2074_02722","YA00082404_00094","EGD-e_02776"
"menH_1","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","5","5","1","1","2961","","","","812","812","812","HM00108598_00181","HM00110618_00089","HL2074_02721","YA00082404_00093","EGD-e_02775"
"umuC","","Protein UmuC","5","5","1","1","2962","","","","1256","1256","1256","HM00108598_00182","HM00110618_00088","HL2074_02720","YA00082404_00092","EGD-e_02774"
"ywlF","","Putative sugar phosphate isomerase YwlF","5","5","1","1","2964","","","","455","455","455","HM00108598_00184","HM00110618_00086","HL2074_02718","YA00082404_00090","EGD-e_02772"
"group_154","","hypothetical protein","5","5","1","1","2966","","","","806","806","806","HM00108598_00186","HM00110618_00084","HL2074_02716","YA00082404_00088","EGD-e_02770"
"group_155","","hypothetical protein","5","5","1","1","2968","","","","362","362","362","HM00108598_00188","HM00110618_00082","HL2074_02714","YA00082404_00086","EGD-e_02768"
"group_156","","hypothetical protein","5","5","1","1","2969","","","","812","812","812","HM00108598_00189","HM00110618_00081","HL2074_02713","YA00082404_00085","EGD-e_02767"
"alsE","","D-allulose-6-phosphate 3-epimerase","5","5","1","1","2977","","","","674","674","674","HM00108598_00197","HM00110618_00073","HL2074_02705","YA00082404_00077","EGD-e_02759"
"rpe_1","","Ribulose-phosphate 3-epimerase","5","5","1","1","2980","","","","644","644","644","HM00108598_00199","HM00110618_00071","HL2074_02703","YA00082404_00075","EGD-e_02757"
"manR","","hypothetical protein","5","5","1","1","2987","","","","2066","2066","2066","HM00108598_00207","HM00110618_00063","HL2074_02696","YA00082404_00067","EGD-e_02750"
"group_16","","hypothetical protein","5","5","1","1","316","","","","377","377","377","HM00108598_00360","HM00110618_00259","HL2074_01878","YA00082404_00608","EGD-e_01925"
"ulaC","","Ascorbate-specific PTS system EIIA component","5","5","1","1","2988","","","","434","434","434","HM00108598_00208","HM00110618_00062","HL2074_02695","YA00082404_00066","EGD-e_02749"
"ulaB","","Ascorbate-specific PTS system EIIB component","5","5","1","1","2989","","","","272","272","272","HM00108598_00209","HM00110618_00061","HL2074_02694","YA00082404_00065","EGD-e_02748"
"crnA","","Creatinine amidohydrolase","5","5","1","1","2992","","","","749","749","749","HM00108598_00212","HM00110618_00058","HL2074_02691","YA00082404_00062","EGD-e_02745"
"group_163","","hypothetical protein","5","5","1","1","2994","","","","743","743","743","HM00108598_00214","HM00110618_00056","HL2074_02689","YA00082404_00060","EGD-e_02743"
"group_164","","hypothetical protein","5","5","1","1","2996","","","","986","986","986","HM00108598_00215","HM00110618_00055","HL2074_02687","YA00082404_00059","EGD-e_02741"
"cpdA_1","","3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA","5","5","1","1","2997","","","","1331","1340","1336","HM00108598_00216","HM00110618_00054","HL2074_02686","YA00082404_00058","EGD-e_02740"
"adk","","Adenylate kinase","5","5","1","1","3028","","","","647","647","647","HM00108598_00247","HM00110618_00023","HL2074_02655","YA00082404_00027","EGD-e_02709"
"sapB","","Protein SapB","5","5","1","1","3039","","","","662","662","662","HM00108598_00256","HM00110618_00014","HL2074_02646","YA00082404_00018","EGD-e_02700"
"ylmA","","putative ABC transporter ATP-binding protein YlmA","5","5","1","1","412","","","","773","785","777","HM00108598_00270","HM00110618_02625","HL2074_01787","YA00082404_00518","EGD-e_01834"
"pepT_2","","Peptidase T","5","5","1","1","410","","","","1232","1232","1232","HM00108598_00272","HM00110618_02627","HL2074_01789","YA00082404_00520","EGD-e_01836"
"fhs1","","Formate--tetrahydrofolate ligase 1","5","5","1","1","306","","","","1280","1682","1601","HM00108598_00369","HM00110618_00268","HL2074_01886","YA00082404_00617","EGD-e_01934"
"inlB_2","","Internalin B","5","5","1","1","404","","","","893","893","893","HM00108598_00278","HM00110618_02633","HL2074_01795","YA00082404_00526","EGD-e_01842"
"rimM","","Ribosome maturation factor RimM","5","5","1","1","396","","","","518","518","518","HM00108598_00285","HM00110618_02640","HL2074_01803","YA00082404_00533","EGD-e_01850"
