locus_tag	ftype	length_bp	gene	EC_number	COG	product
HL2074_00001	CDS	1356	dnaA		COG0593	Chromosomal replication initiator protein DnaA
HL2074_00002	CDS	1146	dnaN		COG0592	Beta sliding clamp
HL2074_00003	CDS	1344	yeeO_1		COG0534	putative FMN/FAD exporter YeeO
HL2074_00004	CDS	288				hypothetical protein
HL2074_00005	CDS	1113	recF		COG1195	DNA replication and repair protein RecF
HL2074_00006	CDS	1941	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
HL2074_00007	CDS	2529	gyrA	5.99.1.3	COG0188	DNA gyrase subunit A
HL2074_00008	CDS	1515	clsA_1	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
HL2074_00009	CDS	519	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
HL2074_00010	CDS	969	galK	2.7.1.6		Galactokinase
HL2074_00011	CDS	972				hypothetical protein
HL2074_00012	CDS	1071		2.7.4.2		Phosphomevalonate kinase
HL2074_00013	CDS	1107				hypothetical protein
HL2074_00014	CDS	1980	qoxB	1.10.3.-		Quinol oxidase subunit 1
HL2074_00015	CDS	612	qoxC	1.10.3.-		Quinol oxidase subunit 3
HL2074_00016	CDS	333	qoxD	1.10.3.-		Quinol oxidase subunit 4
HL2074_00017	CDS	1119				hypothetical protein
HL2074_00018	CDS	1434	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
HL2074_00019	CDS	822				hypothetical protein
HL2074_00020	CDS	741	frlR		COG2188	putative fructoselysine utilization operon transcriptional repressor
HL2074_00021	CDS	402	sorF		COG2893	PTS system sorbose-specific EIIA component
HL2074_00022	CDS	489	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
HL2074_00023	CDS	804	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
HL2074_00024	CDS	822	manZ_1		COG3716	PTS system mannose-specific EIID component
HL2074_00025	CDS	705				hypothetical protein
HL2074_00026	CDS	642	cutC_1		COG3142	Copper homeostasis protein CutC
HL2074_00027	CDS	1905	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
HL2074_00028	CDS	876	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
HL2074_00029	CDS	339				hypothetical protein
HL2074_00030	CDS	810	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
HL2074_00031	CDS	1056	ccpA_1		COG1609	Catabolite control protein A
HL2074_00032	CDS	966	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
HL2074_00033	CDS	2403				hypothetical protein
HL2074_00034	CDS	1353	licC_1		COG1455	Lichenan permease IIC component
HL2074_00035	CDS	1086	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
HL2074_00036	CDS	1026	ptcA	2.1.3.6	COG0078	Putrescine carbamoyltransferase
HL2074_00037	CDS	1386	gadC_1		COG0531	putative glutamate/gamma-aminobutyrate antiporter
HL2074_00038	CDS	1095	aguA_1	3.5.3.12	COG2957	Putative agmatine deiminase
HL2074_00039	CDS	942	arcC1	2.7.2.2	COG0549	Carbamate kinase 1
HL2074_00040	CDS	1110	aguA_2	3.5.3.12	COG2957	Agmatine deiminase
HL2074_00041	CDS	780	glvR_1		COG1737	HTH-type transcriptional regulator GlvR
HL2074_00042	CDS	660	dedA_1		COG0586	Protein DedA
HL2074_00043	CDS	1227	arcA	3.5.3.6		Arginine deiminase
HL2074_00044	CDS	294	rpsF		COG0360	30S ribosomal protein S6
HL2074_00045	CDS	537	ssbA_1		COG0629	Single-stranded DNA-binding protein A
HL2074_00046	CDS	240	rpsR			30S ribosomal protein S18
HL2074_00047	CDS	612				hypothetical protein
HL2074_00048	CDS	615	agrB	3.4.-.-	COG4512	Accessory gene regulator protein B
HL2074_00049	CDS	162				hypothetical protein
HL2074_00050	CDS	1296				hypothetical protein
HL2074_00051	CDS	729	agrA		COG3279	Accessory gene regulator A
HL2074_00052	CDS	1974	gdpP	3.1.4.-	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
HL2074_00053	CDS	447	rplI			50S ribosomal protein L9
HL2074_00054	CDS	1353	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
HL2074_00055	CDS	1293	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
HL2074_00056	CDS	294	esxA			ESAT-6 secretion system extracellular protein A
HL2074_00057	CDS	3207				hypothetical protein
HL2074_00058	CDS	516				hypothetical protein
HL2074_00059	CDS	252	esaB			ESAT-6 secretion accessory factor EsaB
HL2074_00060	CDS	1197	essB			ESAT-6 secretion machinery protein EssB
HL2074_00061	CDS	4497	essC		COG1674	ESAT-6 secretion machinery protein EssC
HL2074_00062	CDS	318				hypothetical protein
HL2074_00063	CDS	435				hypothetical protein
HL2074_00064	CDS	309				hypothetical protein
HL2074_00065	CDS	639				hypothetical protein
HL2074_00066	CDS	315				hypothetical protein
HL2074_00067	CDS	963				hypothetical protein
HL2074_00068	CDS	336				hypothetical protein
HL2074_00069	CDS	441				hypothetical protein
HL2074_00070	CDS	651				hypothetical protein
HL2074_00071	CDS	318				hypothetical protein
HL2074_00072	CDS	276				hypothetical protein
HL2074_00073	CDS	714				hypothetical protein
HL2074_00074	CDS	324				hypothetical protein
HL2074_00075	CDS	759				hypothetical protein
HL2074_00076	CDS	354				hypothetical protein
