locus_tag	ftype	length_bp	gene	EC_number	COG	product
YA00082404_00001	CDS	1191				hypothetical protein
YA00082404_00002	CDS	1866	fokIM	2.1.1.72		Modification methylase FokI
YA00082404_00003	CDS	219				hypothetical protein
YA00082404_00004	CDS	444				hypothetical protein
YA00082404_00005	CDS	642				hypothetical protein
YA00082404_00006	CDS	378				hypothetical protein
YA00082404_00007	CDS	903				hypothetical protein
YA00082404_00008	CDS	168				hypothetical protein
YA00082404_00009	CDS	507				hypothetical protein
YA00082404_00010	CDS	198				hypothetical protein
YA00082404_00011	CDS	1041				hypothetical protein
YA00082404_00012	CDS	393	rpsI		COG0103	30S ribosomal protein S9
YA00082404_00013	CDS	438	rplM		COG0102	50S ribosomal protein L13
YA00082404_00014	CDS	747	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
YA00082404_00015	CDS	798	ecfT_1			Energy-coupling factor transporter transmembrane protein EcfT
YA00082404_00016	CDS	867	ecfA2	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA2
YA00082404_00017	CDS	894	ecfA1	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA1
YA00082404_00018	CDS	663	sapB		COG1285	Protein SapB
YA00082404_00019	CDS	891				hypothetical protein
YA00082404_00020	CDS	1095				hypothetical protein
YA00082404_00021	CDS	408	rplQ			50S ribosomal protein L17
YA00082404_00022	CDS	945	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
YA00082404_00023	CDS	390	rpsK		COG0100	30S ribosomal protein S11
YA00082404_00024	CDS	366	rpsM		COG0099	30S ribosomal protein S13
YA00082404_00025	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
YA00082404_00026	CDS	219	infA		COG0361	Translation initiation factor IF-1
YA00082404_00027	CDS	648	adk	2.7.4.3		Adenylate kinase
YA00082404_00028	CDS	1296	secY			Protein translocase subunit SecY
YA00082404_00029	CDS	441	rplO		COG0200	50S ribosomal protein L15
YA00082404_00030	CDS	180	rpmD		COG1841	50S ribosomal protein L30
YA00082404_00031	CDS	504	rpsE			30S ribosomal protein S5
YA00082404_00032	CDS	360	rplR		COG0256	50S ribosomal protein L18
YA00082404_00033	CDS	537	rplF			50S ribosomal protein L6
YA00082404_00034	CDS	399	rpsH		COG0096	30S ribosomal protein S8
YA00082404_00035	CDS	186	rpsN1		COG0199	30S ribosomal protein S14
YA00082404_00036	CDS	540	rplE		COG0094	50S ribosomal protein L5
